都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
131164,29,東京都,豊島区,区民ひろば清和第一,クミンヒロバセイワダイイチ,,,東京都豊島区巣鴨3-15-20,,35.73552,139.73367,,,,,,,,,,,,
131164,30,東京都,豊島区,区民ひろば清和第二,クミンヒロバセイワダイニ,,,東京都豊島区巣鴨3-13-12,,35.73504,139.73199,,,,,,,,,,,,
131164,31,東京都,豊島区,区民ひろば朝日,クミンヒロバアサヒ,,,東京都豊島区巣鴨5-33-21,,35.74098,139.73323,,,,,,,,,,,,
131164,32,東京都,豊島区,区民ひろば西巣鴨第一,クミンヒロバニシスガモダイイチ,,,東京都豊島区西巣鴨2-35-3,,35.74051,139.72804,,,,,,,,,,,,
131164,33,東京都,豊島区,区民ひろば西巣鴨第二,クミンヒロバニシスガモダイニ,,,東京都豊島区西巣鴨2-14-11,,35.73853,139.7276,,,,,,,,,,,,
131164,34,東京都,豊島区,区民ひろば南大塚,クミンヒロバミナミオオツカ,,,東京都豊島区南大塚2-36-1から2,,35.72909,139.72986,,,,,,,,,,,,
131164,35,東京都,豊島区,区民ひろば上池袋,クミンヒロバカミイケブクロ,,,東京都豊島区上池袋3-13-5,,35.73996,139.71698,,,,,,,,,,,,
131164,36,東京都,豊島区,区民ひろば豊成,クミンヒロバホウセイ,,,東京都豊島区上池袋1-28-7,,35.73697,139.72165,,,,,,,,,,,,
131164,37,東京都,豊島区,区民ひろば朋有,クミンヒロバホウユウ,,,東京都豊島区東池袋2-38-10,,35.73165,139.72156,,,,,,,,,,,,
131164,38,東京都,豊島区,区民ひろば南池袋,クミンヒロバミナミイケブクロ,,,東京都豊島区南池袋3-5-12,,35.72336,139.71379,,,,,,,,,,,,
131164,39,東京都,豊島区,区民ひろば西池袋,クミンヒロバニシイケブクロ,,,東京都豊島区西池袋2-37-4,,35.72791,139.70682,,,,,,,,,,,,
131164,40,東京都,豊島区,区民ひろば池袋,クミンヒロバイケブクロ,,,東京都豊島区池袋3-30-22,,35.73549,139.70486,,,,,,,,,,,,
131164,41,東京都,豊島区,区民ひろば池袋本町,クミンヒロバイケブクロホンチョウ,,,東京都豊島区池袋本町3-9-4,,35.7436,139.71271,,,,,,,,,,,,
131164,42,東京都,豊島区,区民ひろば高南第一,クミンヒロバコウナンダイイチ,,,東京都豊島区高田2-11-2,,35.71572,139.71443,,,,,,,,,,,,
131164,43,東京都,豊島区,区民ひろば高南第二,クミンヒロバコウナンダイニ,,,東京都豊島区高田3-38-7,,35.71617,139.71097,,,,,,,,,,,,
131164,44,東京都,豊島区,区民ひろば目白,クミンヒロバメジロ,,,東京都豊島区目白2-20-26,,35.72238,139.70963,,,,,,,,,,,,
131164,45,東京都,豊島区,区民ひろば椎名町,クミンヒロバシイナマチ,,,東京都豊島区南長崎4-12-7,,35.7249,139.68509,,,,,,,,,,,,
131164,46,東京都,豊島区,区民ひろば富士見台,クミンヒロバフジミダイ,,,東京都豊島区南長崎1-6-1,,35.72409,139.69156,,,,,,,,,,,,
131164,47,東京都,豊島区,区民ひろばさくら第一,クミンヒロバサクラダイイチ,,,東京都豊島区南長崎6-20-15,,35.73013,139.68062,,,,,,,,,,,,
131164,48,東京都,豊島区,区民ひろばさくら第二,クミンヒロバサクラダイニ,,,東京都豊島区長崎6-37-11,,35.73645,139.68274,,,,,,,,,,,,
131164,49,東京都,豊島区,区民ひろば長崎,クミンヒロバナガサキ,,,東京都豊島区長崎2-27-18,,35.72959,139.69295,,,,,,,,,,,,
131164,50,東京都,豊島区,区民ひろば要,クミンヒロバカナメ,,,東京都豊島区要町1-7-8,,35.73347,139.69513,,,,,,,,,,,,
131164,51,東京都,豊島区,区民ひろば千早,クミンヒロバチハヤ,,,東京都豊島区要町3-7-10,,35.73709,139.68773,,,,,,,,,,,,
131164,52,東京都,豊島区,区民ひろば高松,クミンヒロバタカマツ,,,東京都豊島区高松2-25-9,,35.73862,139.69783,,,,,,,,,,,,
131164,53,東京都,豊島区,地域活動交流センター,チイキカツドウコウリュウセンター,,,東京都豊島区西池袋2-37-4,,35.72791,139.70682,,,,,,,,,,,,
131164,54,東京都,豊島区,南池袋斎場,ミナミイケブクロサイジョウ,,,東京都豊島区南池袋4-25-2,,35.72343,139.71964,,,,,,,,,,,,
131164,55,東京都,豊島区,巣鴨第一区民集会室,スガモダイイチクミンシュウカイシツ,,,東京都豊島区巣鴨3-13-12,,35.73504,139.73199,,,,,,,,,,,,
131164,56,東京都,豊島区,西巣鴨区民集会室,ニシスガモクミンシュウカイシツ,,,東京都豊島区西巣鴨2-35-3,,35.74051,139.72804,,,,,,,,,,,,
131164,57,東京都,豊島区,北大塚区民集会室,キタオオツカクミンシュウカイシツ,,,東京都豊島区北大塚3-29-11,,35.73579,139.72534,,,,,,,,,,,,
131164,58,東京都,豊島区,上池袋コミュニティセンター,カミイケブクロコミュニティセンター,,,東京都豊島区上池袋2-5-1,,35.7348,139.71475,,,,,,,,,,,,
131164,59,東京都,豊島区,上池袋第二区民集会室,カミイケブクロダイニクミンシュウカイシツ,,,東京都豊島区上池袋3-13-5,,35.73996,139.71698,,,,,,,,,,,,
131164,60,東京都,豊島区,上池袋第一区民集会室,カミイケブクロダイイチクミンシュウカイシツ,,,東京都豊島区上池袋1-28-7,,35.73697,139.72165,,,,,,,,,,,,
131164,61,東京都,豊島区,東池袋第二区民集会室,ヒガシイケブクロダイニクミンシュウカイシツ,,,東京都豊島区東池袋2-38-10,,35.73165,139.72156,,,,,,,,,,,,
131164,62,東京都,豊島区,西池袋第二区民集会室,ニシイケブクロダイニクミンシュウカイシツ,,,東京都豊島区西池袋3-8-20,,35.72753,139.70329,,,,,,,,,,,,
131164,63,東京都,豊島区,池袋第三区民集会室,イケブクロダイサンクミンシュウカイシツ,,,東京都豊島区池袋3-29-10,,35.7357,139.70578,,,,,,,,,,,,
131164,64,東京都,豊島区,池袋本町第二区民集会室,イケブクロホンチョウダイニクミンシュウカイシツ,,,東京都豊島区池袋本町1-40-7,,35.74013,139.71548,,,,,,,,,,,,
131164,65,東京都,豊島区,池袋本町第一区民集会室,イケブクロホンチョウダイイチクミンシュウカイシツ,,,東京都豊島区池袋本町3-9-4,,35.7436,139.71271,,,,,,,,,,,,
131164,66,東京都,豊島区,雑司が谷区民集会室,ゾウシガヤクミンシュウカイシツ,,,東京都豊島区雑司が谷1-22-5,,35.72115,139.71953,,,,,,,,,,,,
131164,67,東京都,豊島区,高田第一区民集会室,タカダダイイチクミンシュウカイシツ,,,東京都豊島区高田2-11-2,,35.71572,139.71443,,,,,,,,,,,,
131164,68,東京都,豊島区,高田第二区民集会室,タカダダイニクミンシュウカイシツ,,,東京都豊島区高田3-18-3,,35.71515,139.70723,,,,,,,,,,,,
131164,69,東京都,豊島区,目白第一区民集会室,メジロダイイチクミンシュウカイシツ,,,東京都豊島区目白4-31-8,,35.72601,139.69933,,,,,,,,,,,,
131164,70,東京都,豊島区,南長崎第一区民集会室,ミナミナガサキダイイチクミンシュウカイシツ,,,東京都豊島区南長崎1-6-1,,35.72409,139.69156,,,,,,,,,,,,
131164,71,東京都,豊島区,南長崎第二区民集会室,ミナミナガサキダイニクミンシュウカイシツ,,,東京都豊島区南長崎6-20-15,,35.73013,139.68062,,,,,,,,,,,,
131164,72,東京都,豊島区,長崎第五区民集会室,ナガサキダイゴクミンシュウカイシツ,,,東京都豊島区長崎5-29-4,,35.73426,139.68391,,,,,,,,,,,,
131164,73,東京都,豊島区,長崎第四区民集会室,ナガサキダイヨンクミンシュウカイシツ,,,東京都豊島区長崎6-34-10,,35.73537,139.68257,,,,,,,,,,,,
131164,74,東京都,豊島区,長崎第三区民集会室,ナガサキダイサンクミンシュウカイシツ,,,東京都豊島区長崎2-27-18,,35.72959,139.69295,,,,,,,,,,,,
131164,75,東京都,豊島区,要町第二区民集会室,カナメチョウダイニクミンシュウカイシツ,,,東京都豊島区要町3-7-10,,35.73709,139.68773,,,,,,,,,,,,
131164,76,東京都,豊島区,高松区民集会室,タカマツクミンシュウカイシツ,,,東京都豊島区高松2-25-9,,35.73862,139.69783,,,,,,,,,,,,
131164,77,東京都,豊島区,千川区民集会室,センカワクミンシュウカイシツ,,,東京都豊島区千川2-9-10,,35.74112,139.69171,,,,,,,,,,,,
131164,78,東京都,豊島区,巣鴨第三区民集会室,スガモダイサンクミンシュウカイシツ,,,東京都豊島区巣鴨1-44-3,,35.73035,139.73676,,,,,,,,,,,,
131164,79,東京都,豊島区,東池袋第四区民集会室,ヒガシイケブクロダイヨンクミンシュウカイシツ,,,東京都豊島区東池袋4-32-15,,35.72641,139.7218,,,,,,,,,,,,
131164,80,東京都,豊島区,目白第二区民集会室,メジロダイニクミンシュウカイシツ,,,東京都豊島区目白3-4-3,,35.72173,139.70589,,,,,,,,,,,,
131164,81,東京都,豊島区,ふるさと千川館,フルサトセンカワカン,,,東京都豊島区要町3-55-18,,35.74031,139.68839,,,,,,,,,,,,
131164,82,東京都,豊島区,高齢者在宅サービスセンター長崎第二豊寿園,コウレイシャザイタクサービスセンターナガサキダイニホウジュエン,,,東京都豊島区長崎6-34-10,,35.73537,139.68257,,,,,,,,,,,,
131164,83,東京都,豊島区,高齢者在宅サービスセンター千川豊寿園,コウレイシャザイタクサービスセンターセンカワホウジュエン,,,東京都豊島区千川2-9-10,,35.74112,139.69171,,,,,,,,,,,,
131164,84,東京都,豊島区,心身障害者福祉センター,シンシンショウガイシャフクシセンター,,,東京都豊島区目白5-18-8,,35.72381,139.69547,,,,,,,,,,,,
131164,85,東京都,豊島区,駒込生活実習所,コマゴメセイカツジッシュウジョ,,,東京都豊島区駒込4-7-1,,35.73521,139.74182,,,,,,,,,,,,
131164,86,東京都,豊島区,駒込福祉作業所,コマゴメフクシサギョウショ,,,東京都豊島区駒込4-7-1,,35.73521,139.74182,,,,,,,,,,,,
131164,87,東京都,豊島区,目白生活実習所,メジロセイカツジッシュウジョ,,,東京都豊島区目白5-18-8,,35.72381,139.69547,,,,,,,,,,,,
131164,88,東京都,豊島区,目白福祉作業所,メジロフクシサギョウショ,,,東京都豊島区目白5-18-8,,35.72381,139.69547,,,,,,,,,,,,
131164,89,東京都,豊島区,駒込福祉作業所分室,コマゴメフクシサギョウショブンシツ,,,東京都豊島区池袋本町1-6-12,,35.73747,139.71396,,,,,,,,,,,,
131164,90,東京都,豊島区,目白生活実習所分室,メジロセイカツジッシュウジョブンシツ,,,東京都豊島区上池袋2-5-1,,35.7348,139.71475,,,,,,,,,,,,
131164,91,東京都,豊島区,福祉ホームさくらんぼ,フクシホームサクランボ,,,東京都豊島区西池袋3-8-20,,35.72753,139.70329,,,,,,,,,,,,
131164,92,東京都,豊島区,高田介護予防センター,タカダカイゴヨボウセンター,,,東京都豊島区高田3-38-7,,35.71617,139.71097,,,,,,,,,,,,
131164,93,東京都,豊島区,東池袋フレイル対策センター,ヒガシイケブクロフレイルタイサクセンター,,,東京都豊島区東池袋2-38-10,,35.73165,139.72156,,,,,,,,,,,,
131164,94,東京都,豊島区,中央高齢者総合相談センター,チュウオウコウレイシャソウゴウソウダンセンター,,,東京都豊島区東池袋1-39-2,,35.73244,139.71432,,,,,,,,,,,,
131164,95,東京都,豊島区,いけよんの郷高齢者総合相談センター,イケヨンノサトコウレイシャソウゴウソウダンセンター,,,東京都豊島区池袋本町1-29-12,,35.73973,139.71463,,,,,,,,,,,,
131164,96,東京都,豊島区,アトリエ村高齢者総合相談センター,アトリエムラコウレイシャソウゴウソウダンセンター,,,東京都豊島区長崎4-23-1,,35.73022,139.68628,,,,,,,,,,,,
131164,97,東京都,豊島区,豊島区医師会高齢者総合相談センター,トシマクイシカイコウレイシャソウゴウソウダンセンター,,,東京都豊島区西池袋3-22-16,,35.73023,139.70639,,,,,,,,,,,,
131164,98,東京都,豊島区,菊かおる園高齢者総合相談センター,キクカオルソノコウレイシャソウゴウソウダンセンター,,,東京都豊島区西巣鴨2-30-19,,35.73919,139.72845,,,,,,,,,,,,
131164,99,東京都,豊島区,ふくろうの杜高齢者総合相談センター,フクロウノモリコウレイシャソウゴウソウダンセンター,,,東京都豊島区南池袋3-7-8,,35.72355,139.71231,,,,,,,,,,,,
131164,100,東京都,豊島区,東部高齢者総合相談センター,トウブコウレイシャソウゴウソウダンセンター,,,東京都豊島区南大塚2-36-2,,35.72909,139.72986,,,,,,,,,,,,
131164,101,東京都,豊島区,西部高齢者総合相談センター,セイブコウレイシャソウゴウソウダンセンター,,,東京都豊島区千早2-39-16,,35.73556,139.69102,,,,,,,,,,,,
131164,102,東京都,豊島区,長崎休日診療所,ナガサキキュウジツシンリョウジョ,,,東京都豊島区長崎2-27-18,,35.72959,139.69295,,,,,,,,,,,,
131164,103,東京都,豊島区,池袋休日診療所,イケブクロキュウジツシンリョウジョ,,,東京都豊島区東池袋4-42-16,,35.72778,139.72185,,,,,,,,,,,,
131164,104,東京都,豊島区,口腔保健センター,コウクウホケンセンター,,,東京都豊島区東池袋4-42-16,,35.72778,139.72185,,,,,,,,,,,,
131164,105,東京都,豊島区,池袋あうる薬局,イケブクロアウルヤッキョク,,,東京都豊島区東池袋4-42-16,,35.72778,139.72185,,,,,,,,,,,,
131164,106,東京都,豊島区,豊島健康診査センター,トシマケンコウシンサセンター,,,東京都豊島区上池袋2-5-1,,35.7348,139.71475,,,,,,,,,,,,
131164,107,東京都,豊島区,子どもスキップ駒込,コドモスキップコマゴメ,,,東京都豊島区駒込3-13-1,,35.73823,139.74313,,,,,,,,,,,,
131164,108,東京都,豊島区,子どもスキップ仰高,コドモスキップギョウコウ,,,東京都豊島区駒込5-1-19,,35.7362,139.73834,,,,,,,,,,,,
131164,109,東京都,豊島区,子どもスキップ朝日,コドモスキップアサヒ,,,東京都豊島区巣鴨5-33-1,,35.74098,139.73323,,,,,,,,,,,,
131164,110,東京都,豊島区,子どもスキップ清和,コドモスキップセイワ,,,東京都豊島区巣鴨3-13-12,,35.73504,139.73199,,,,,,,,,,,,
131164,111,東京都,豊島区,子どもスキップ西巣鴨,コドモスキップニシスガモ,,,東京都豊島区西巣鴨2-14-11,,35.73853,139.7276,,,,,,,,,,,,
131164,112,東京都,豊島区,子どもスキップ巣鴨,コドモスキップスガモ,,,東京都豊島区南大塚1-24-10,,35.7284,139.73468,,,,,,,,,,,,
131164,113,東京都,豊島区,子どもスキップ池袋第一,コドモスキップイケブクロダイイチ,,,東京都豊島区池袋本町4-36-1,,35.74417,139.71436,,,,,,,,,,,,
131164,114,東京都,豊島区,子どもスキップ豊成,コドモスキップホウセイ,,,東京都豊島区上池袋1-18-24,,35.73488,139.72195,,,,,,,,,,,,
131164,115,東京都,豊島区,子どもスキップ朋有,コドモスキップホウユウ,,,東京都豊島区東池袋4-40-1,,35.72861,139.7233,,,,,,,,,,,,
131164,116,東京都,豊島区,子どもスキップ南池袋,コドモスキップミナミイケブクロ,,,東京都豊島区南池袋3-5-12,,35.72336,139.71379,,,,,,,,,,,,
131164,117,東京都,豊島区,子どもスキップ池袋第三,コドモスキップイケブクロダイサン,,,東京都豊島区西池袋3-14-3,,35.72832,139.70285,,,,,,,,,,,,
131164,118,東京都,豊島区,子どもスキップ池袋,コドモスキップイケブクロ,,,東京都豊島区池袋4-23-8,,35.73771,139.70958,,,,,,,,,,,,
131164,119,東京都,豊島区,子どもスキップ高南,コドモスキップコウナン,,,東京都豊島区高田2-12-7,,35.71659,139.71425,,,,,,,,,,,,
131164,120,東京都,豊島区,子どもスキップ目白,コドモスキップメジロ,,,東京都豊島区目白2-11-6,,35.72074,139.70944,,,,,,,,,,,,
131164,121,東京都,豊島区,子どもスキップ椎名町,コドモスキップシイナマチ,,,東京都豊島区南長崎4-30-5,,35.72654,139.68579,,,,,,,,,,,,
131164,122,東京都,豊島区,子どもスキップ富士見台,コドモスキップフジミダイ,,,東京都豊島区南長崎1-10-5,,35.72458,139.69295,,,,,,,,,,,,
131164,123,東京都,豊島区,子どもスキップ長崎,コドモスキップナガサキ,,,東京都豊島区長崎2-6-3,,35.72841,139.69022,,,,,,,,,,,,
131164,124,東京都,豊島区,子どもスキップさくら,コドモスキップサクラ,,,東京都豊島区長崎6-16-1,,35.73587,139.68004,,,,,,,,,,,,
131164,125,東京都,豊島区,子どもスキップ千早,コドモスキップチハヤ,,,東京都豊島区千早3-33-5,,35.73492,139.68727,,,,,,,,,,,,
131164,126,東京都,豊島区,子どもスキップ要,コドモスキップカナメ,,,東京都豊島区要町2-3-20,,35.73409,139.69391,,,,,,,,,,,,
131164,127,東京都,豊島区,子どもスキップ高松,コドモスキップタカマツ,,,東京都豊島区高松2-57-22,,35.73938,139.69722,,,,,,,,,,,,
131164,128,東京都,豊島区,子どもスキップ池袋本町,コドモスキップイケブクロホンチョウ,,,東京都豊島区池袋本町1-43-1,,35.74055,139.71478,,,,,,,,,,,,
131164,129,東京都,豊島区,ジャンプ長崎,ジャンプナガサキ,,,東京都豊島区長崎2-24-13,,35.72928,139.69102,,,,,,,,,,,,
131164,130,東京都,豊島区,ジャンプ東池袋,ジャンプヒガシイケブクロ,,,東京都豊島区東池袋2-38-10,,35.73165,139.72156,,,,,,,,,,,,
131164,131,東京都,豊島区,西部子ども家庭支援センター,セイブコドモカテイシエンセンター,,,東京都豊島区千早4-6-14,,35.73753,139.68275,,,,,,,,,,,,
131164,132,東京都,豊島区,東部子ども家庭支援センター,トウブコドモカテイシエンセンター,,,東京都豊島区上池袋2-35-22,,35.73687,139.7179,,,,,,,,,,,,
131164,133,東京都,豊島区,駒込第一保育園,コマゴメダイイチホイクエン,,,東京都豊島区駒込7-7-22,,35.74137,139.73889,03 3917 0644,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/273/kosodate/kosodate/hoikuen/kuritsu/006103.html,
131164,134,東京都,豊島区,巣鴨第一保育園,スガモダイイチホイクエン,,,東京都豊島区巣鴨3-15-20,,35.73552,139.73367,03 3910 8900,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/275/2102191007.html,
131164,135,東京都,豊島区,西巣鴨第三保育園,ニシスガモダイサンホイクエン,,,東京都豊島区西巣鴨1-2-14,,35.73592,139.72667,03 3940 2341,,,豊島区,月火水木金土,7:15,20:00,土曜日の開所時間は07：15から20：00休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/276/kosodate/kosodate/hoikuen/kuritsu/006111.html,
131164,136,東京都,豊島区,東池袋第一保育園,ヒガシイケブクロダイイチホイクエン,,,東京都豊島区東池袋2-60-19,,35.73359,139.7177,03 3987 4621,,,豊島区,月火水木金土,7:15,20:00,土曜日の開所時間は07：15から20：00休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/277/kosodate/kosodate/hoikuen/kuritsu/006115.html,
131164,137,東京都,豊島区,東池袋第二保育園,ヒガシイケブクロダイニホイクエン,,,東京都豊島区東池袋2-34-1,,35.73262,139.72301,03 3988 3570,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/278/kosodate/kosodate/hoikuen/kuritsu/006116.html,
131164,138,東京都,豊島区,西池袋第二保育園,ニシイケブクロダイニホイクエン,,,東京都豊島区西池袋4-22-18,,35.72927,139.69858,03 3957 7521,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/279/kosodate/kosodate/hoikuen/kuritsu/006118.html,
131164,139,東京都,豊島区,池袋第一保育園,イケブクロダイイチホイクエン,,,東京都豊島区上池袋3-39-11,,35.73915,139.72083,03 3916 8568,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/280/kosodate/kosodate/hoikuen/kuritsu/006119.html,
131164,140,東京都,豊島区,池袋第二保育園,イケブクロダイニホイクエン,,,東京都豊島区池袋本町3-4-5,,35.74249,139.71236,03 3987 4648,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/281/kosodate/kosodate/hoikuen/kuritsu/006120.html,
131164,141,東京都,豊島区,池袋第三保育園,イケブクロダイサンホイクエン,,,東京都豊島区池袋3-58-15,,35.73514,139.7075,03 3986 4006,,,豊島区,月火水木金土,7:15,20:00,土曜日の開所時間は07：15から20：00休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/282/kosodate/kosodate/hoikuen/kuritsu/006122.html,令和4年4月～民営化（令和4年3月31日時点の調査なので記載あり）
131164,142,東京都,豊島区,池袋第五保育園,イケブクロダイゴホイクエン,,,東京都豊島区池袋3-26-22,,35.73443,139.70522,03 3987 4653,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/283/kosodate/kosodate/hoikuen/kuritsu/006123.html,
131164,143,東京都,豊島区,高南保育園,コウナンホイクエン,,,東京都豊島区高田1-24-14,,35.71511,139.71658,03 3987 6845,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/284/kosodate/kosodate/hoikuen/kuritsu/006126.html,
131164,144,東京都,豊島区,目白第一保育園,メジロダイイチホイクエン,,,東京都豊島区目白5-18-2,,35.72381,139.69547,03 3953 2293,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/285/kosodate/kosodate/hoikuen/kuritsu/006127.html,
131164,145,東京都,豊島区,目白第二保育園,メジロダイニホイクエン,,,東京都豊島区目白2-23-9,,35.723,139.70932,03 3986 6261,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/286/kosodate/kosodate/hoikuen/kuritsu/006128.html,
131164,146,東京都,豊島区,南長崎第一保育園,ミナミナガサキダイイチホイクエン,,,東京都豊島区南長崎5-23-7,,35.72996,139.68173,03 3952 6375,,,豊島区,月火水木金土,7:15,19:15,土曜日の開所時間は07：15から19：15休所日は日曜日及び祝日、12/29から1/3まで,,,https://www.city.toshima.lg.jp/287/kosodate/kosodate/hoikuen/kuritsu/006129.html,
