都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
131105,16,東京都,目黒区,消費生活センター,ショウヒセイカツセンター,,1309a,東京都目黒区目黒 2-4-36,区民センター内,35.635914,139.70807,03-3711-1133,,1.00E+12,目黒区,,,,,,,,
131105,17,東京都,目黒区,ワークサポートめぐろ,ワークサポートメグロ,,1219a,東京都目黒区上目黒 2-19-15,総合庁舎本館1階,35.641263,139.698591,03-5722-9326,,1.00E+12,目黒区,,,,,,,,
131105,18,東京都,目黒区,駒場住区センター,コマバジュウクセンター,,1309a,東京都目黒区駒場 1-22-4,,35.656295,139.686531,03-3469-2613,,1.00E+12,目黒区,,,,,,,,
131105,19,東京都,目黒区,菅刈住区センター,スゲカリジュウクセンター,,1309a,東京都目黒区青葉台 2-10-18,,35.649801,139.695613,03-3461-7235,,1.00E+12,目黒区,,,,,,,,
131105,20,東京都,目黒区,東山住区センター,ヒガシヤマジュウクセンター,,1309a,東京都目黒区東山 2-24-30,東山小学校内,35.646695,139.685956,03-3715-1836,,1.00E+12,目黒区,,,,,,,,
131105,21,東京都,目黒区,烏森住区センター,カラスモリジュウクセンター,,1309a,東京都目黒区上目黒 3-44-2,,35.643932,139.691644,03-3719-0594,,1.00E+12,目黒区,,,,,,,,
131105,22,東京都,目黒区,中目黒住区センター,ナカメグロジュウクセンター,,1309a,東京都目黒区中目黒 2-10-13,中目黒スクエア内,35.640452,139.703029,03-3719-0694,,1.00E+12,目黒区,,,,,,,,
131105,23,東京都,目黒区,田道住区センター,デンドウジュウクセンター,,1309a,東京都目黒区目黒 1-25-26,田道ふれあい館内,35.636722,139.708179,03-5721-2303,,1.00E+12,目黒区,,,,,,,,
131105,24,東京都,目黒区,田道住区センター三田分室,デンドウジュウクセンターミタブンシツ,,1309a,東京都目黒区三田 2-10-33,,35.638819,139.712487,03-3791-7901,,1.00E+12,目黒区,,,,,,,,
131105,25,東京都,目黒区,下目黒住区センター,シモメグロジュウクセンター,,1309a,東京都目黒区下目黒 2-20-19,,35.632939,139.709898,03-5496-5813,,1.00E+12,目黒区,,,,,,,,
131105,26,東京都,目黒区,不動住区センター,フドウジュウクセンター,,1309a,東京都目黒区下目黒 6-8-23,,35.626409,139.701038,03-3793-8901,,1.00E+12,目黒区,,,,,,,,
131105,27,東京都,目黒区,上目黒住区センター,カミメグロジュウクセンター,,1309a,東京都目黒区祐天寺 2-6-6,,35.637083,139.693766,03-3793-1101,,1.00E+12,目黒区,,,,,,,,
131105,28,東京都,目黒区,油面住区センター,アブラメンジュウクセンター,,1309a,東京都目黒区中町 1-6-23,,35.631375,139.699785,03-3719-0894,,1.00E+12,目黒区,,,,,,,,
131105,29,東京都,目黒区,五本木住区センター,ゴホンギジュウクセンター,,1309a,東京都目黒区中央町 2-17-2,,35.633186,139.689298,03-3791-3541,,1.00E+12,目黒区,,,,,,,,
131105,30,東京都,目黒区,鷹番住区センター,タカバンジュウクセンター,,1309a,東京都目黒区鷹番 3-17-20,,35.628225,139.683159,03-3715-9231,,1.00E+12,目黒区,,,,,,,,
131105,31,東京都,目黒区,月光原住区センター,ゲッコウハラジュウクセンター,,1309a,東京都目黒区目黒本町 4-16-18,,35.622074,139.694686,03-3714-0694,,1.00E+12,目黒区,,,,,,,,
131105,32,東京都,目黒区,向原住区センター,ムカイハラジュウクセンター,,1309a,東京都目黒区目黒本町 5-22-11,,35.618716,139.6986,03-3794-5441,,1.00E+12,目黒区,,,,,,,,
131105,33,東京都,目黒区,碑住区センター,イシブミジュウクセンター,,1309a,東京都目黒区碑文谷 2-16-6,,35.620765,139.687651,03-3792-0784,,1.00E+12,目黒区,,,,,,,,
131105,34,東京都,目黒区,原町住区センター,ハラマチジュウクセンター,,1309a,東京都目黒区南 1-8-9,,35.615151,139.689363,03-3725-0731,,1.00E+12,目黒区,,,,,,,,
131105,35,東京都,目黒区,大岡山東住区センター,オオオカヤマヒガシジュウクセンター,,1309a,東京都目黒区碑文谷 3-15-5,,35.617809,139.684238,03-3792-7301,,1.00E+12,目黒区,,,,,,,,
131105,36,東京都,目黒区,大岡山西住区センター,オオオカヤマニシジュウクセンター,,1309a,東京都目黒区平町 1-15-12,,35.615907,139.679162,03-3724-5251,,1.00E+12,目黒区,,,,,,,,
131105,37,東京都,目黒区,中根住区センター,ナカネジュウクセンター,,1309a,東京都目黒区大岡山 1-37-2,,35.61269,139.679532,03-3725-8665,,1.00E+12,目黒区,,,,,,,,
131105,38,東京都,目黒区,自由が丘住区センター,ジユウガオカジュウクセンター,,1309a,東京都目黒区自由が丘 1-24-12,,35.609913,139.669161,03-3718-1195,,1.00E+12,目黒区,,,,,,,,
131105,39,東京都,目黒区,自由が丘住区センター宮前分室,ジユウガオカジュウクセンターミヤマエブンシツ,,1309a,東京都目黒区八雲 3-22-15,,35.61564,139.665406,03-3723-7104,,1.00E+12,目黒区,,,,,,,,
131105,40,東京都,目黒区,八雲住区センター,ヤクモジュウクセンター,,1309a,東京都目黒区八雲 1-10-5,,35.618715,139.672271,03-3718-0851,,1.00E+12,目黒区,,,,,,,,
131105,41,東京都,目黒区,東根住区センター,ヒガシネジュウクセンター,,1309a,東京都目黒区東が丘 1-7-14,,35.62724,139.670043,03-3795-4445,,1.00E+12,目黒区,,,,,,,,
131105,42,東京都,目黒区,目黒区エコプラザ,メグロクエコプラザ,,2005a,東京都目黒区目黒 1-25-26,田道ふれあい館地下1階,35.636722,139.708179,03-5721-2300,,1.00E+12,目黒区,,,,,,,,
131105,43,東京都,目黒区,東山社会教育館,ヒガシヤマシャカイキョウイクカン,,1307a,東京都目黒区東山 3-24-2,,35.64787,139.685397,03-3791-4611,,1.00E+12,目黒区,,,,,,,,
131105,44,東京都,目黒区,目黒区民センター社会教育館,メグロクミンセンターシャカイキョウイクカン,,1307a,東京都目黒区目黒 2-4-36,,35.635914,139.70807,03-3711-1137,,1.00E+12,目黒区,,,,,,,,
131105,45,東京都,目黒区,中央町社会教育館,チュウオウチョウシャカイキョウイクカン,,1307a,東京都目黒区中央町 2-4-18,中央町さくらプラザ内,35.632008,139.692174,03-3713-4127,,1.00E+12,目黒区,,,,,,,,
131105,46,東京都,目黒区,目黒本町社会教育館,メグロホンチョウシャカイキョウイクカン,,1307a,東京都目黒区目黒本町 2-1-20,,35.625223,139.695225,03-3792-6321,,1.00E+12,目黒区,,,,,,,,
131105,47,東京都,目黒区,緑が丘文化会館,ミドリガオカブンカカイカン,,1309a,東京都目黒区緑が丘 2-14-23,緑が丘コミュニティセンター内,35.609352,139.673277,03-3723-8741,,1.00E+12,目黒区,,,,,,,,
131105,48,東京都,目黒区,青少年プラザ,セイショウネンプラザ,,1309a,東京都目黒区中目黒 2-10-13,中目黒スクエア内,35.640452,139.703029,03-5721-8575,,1.00E+12,目黒区,,,,,,,,
131105,49,東京都,目黒区,男女平等・共同参画センター,ダンジョビョウドウ・キョウドウサンカクセンター,,1399a,東京都目黒区中目黒 2-10-13,中目黒スクエア内,35.640452,139.703029,03-5721-8570,,1.00E+12,目黒区,,,,,,,,
131105,50,東京都,目黒区,八雲中央図書館,ヤクモチュウオウトショカン,,1512a,東京都目黒区八雲 1-1-1,区民キャンパス内,35.621542,139.672741,03-5701-2795,,1.00E+12,目黒区,,,,,,,,
131105,51,東京都,目黒区,大橋図書館,オオハシトショカン,,1512a,東京都目黒区大橋 1-5-1,クロスエアタワー9階,35.651456,139.688433,03-3770-3101,,1.00E+12,目黒区,,,,,,,,
131105,52,東京都,目黒区,中目黒駅前図書館,ナカメグロエキマエトショカン,,1512a,東京都目黒区上目黒 2-1-3,中目黒GT内,35.643232,139.698638,03-3710-7253,,1.00E+12,目黒区,,,,,,,,
131105,53,東京都,目黒区,目黒区民センター図書館,メグロクミンセンタートショカン,,1512a,東京都目黒区目黒 2-4-36,,35.635453,139.707868,03-3711-1138,,1.00E+12,目黒区,,,,,,,,
131105,54,東京都,目黒区,守屋図書館,モリヤトショカン,,1512a,東京都目黒区五本木 2-20-15,,35.634105,139.689039,03-3711-7465,,1.00E+12,目黒区,,,,,,,,
131105,55,東京都,目黒区,目黒本町図書館,メグロホンチョウトショカン,,1512a,東京都目黒区目黒本町 2-1-20,,35.625223,139.695225,03-3792-6325,,1.00E+12,目黒区,,,,,,,,
131105,56,東京都,目黒区,洗足図書館,センゾクトショカン,,1512a,東京都目黒区洗足 2-8-26,,35.612372,139.692362,03-3719-7651,,1.00E+12,目黒区,,,,,,,,
131105,57,東京都,目黒区,緑が丘図書館,ミドリガオカトショカン,,1512a,東京都目黒区緑が丘 2-14-23,緑が丘コミュニティセンター内,35.609352,139.673277,03-3723-0661,,1.00E+12,目黒区,,,,,,,,
131105,58,東京都,目黒区,めぐろ歴史資料館,メグロレキシシリョウカン,,0803a,東京都目黒区中目黒 3-6-10,,35.639384,139.702725,03-3715-3571,,1.00E+12,目黒区,,,,,,,,
131105,59,東京都,目黒区,古民家,コミンカ,,0622a,東京都目黒区碑文谷 3-11-22,すずめのお宿緑地公園内,35.618579,139.684451,03-3714-8882,,1.00E+12,目黒区,,,,,,,,
131105,60,東京都,目黒区,目黒区美術館,メグロクビジュツカン,,0802a,東京都目黒区目黒 2-4-36,区民センター内,35.634877,139.707728,03-3714-1201,,1.00E+12,目黒区,,,,,,,,
131105,61,東京都,目黒区,めぐろパーシモンホール,メグロパーシモンホール,,1308a,東京都目黒区八雲 1-1-1,区民キャンパス内,35.621542,139.672741,03-5701-2924,,1.00E+12,目黒区,,,,,,,,
131105,62,東京都,目黒区,中目黒ＧＴプラザホール,ナカメグロジィーティープラザホール,,1308a,東京都目黒区上目黒 2-1-3,中目黒ＧＴ内,35.643481,139.698809,03-6412-5377,,1.00E+12,目黒区,,,,,,,,
131105,63,東京都,目黒区,中央体育館,チュウオウタイイクカン,,1110a,東京都目黒区目黒本町 5-22-8,,35.61903,139.698961,03-3714-9591,,1.00E+12,目黒区,,,,,,,,
131105,64,東京都,目黒区,駒場体育館,コマバタイイクカン・プール（ホクブチクプール）・テイキュウジョウ・ゲートボールジョウ,,1199a,東京都目黒区駒場 2-19-39,,35.658083,139.680147,03-3485-7761,,1.00E+12,目黒区,,,,,,,,
131105,65,東京都,目黒区,駒場プール,コマバタイイクカン・プール（ホクブチクプール）・テイキュウジョウ・ゲートボールジョウ,北部地区プール,1199a,東京都目黒区駒場 2-19-39,,35.658083,139.680147,03-3485-7761,,1.00E+12,目黒区,,,,,,,,
131105,66,東京都,目黒区,駒場庭球場・ゲートボール場,コマバタイイクカン・プール（ホクブチクプール）・テイキュウジョウ・ゲートボールジョウ,,1199a,東京都目黒区駒場 2-19-39,,35.658083,139.680147,03-3485-7761,,1.00E+12,目黒区,,,,,,,,
131105,67,東京都,目黒区,目黒区民センター体育館,メグロクミンセンタータイイクカン・プール（トウブチクプール）・テイキュウジョウ,,1199a,東京都目黒区目黒 2-4-36,,35.635403,139.708472,03-3711-1139,,1.00E+12,目黒区,,,,,,,,
131105,68,東京都,目黒区,目黒区民センタープール,メグロクミンセンタータイイクカン・プール（トウブチクプール）・テイキュウジョウ,東部地区プール,1199a,東京都目黒区目黒 2-4-36,,35.635403,139.708472,03-3711-1139,,1.00E+12,目黒区,,,,,,,,
131105,69,東京都,目黒区,目黒区民センター庭球場,メグロクミンセンタータイイクカン・プール（トウブチクプール）・テイキュウジョウ,,1199a,東京都目黒区目黒 2-4-36,,35.635403,139.708472,03-3711-1139,,1.00E+12,目黒区,,,,,,,,
131105,70,東京都,目黒区,碑文谷体育館,ヒモンヤタイイクカン・テイキュウジョウ・ヤキュウジョウ,,1199a,東京都目黒区碑文谷 6-12-43,,35.627225,139.682079,03-3760-1941,,1.00E+12,目黒区,,,,,,,,
131105,71,東京都,目黒区,碑文谷庭球場,ヒモンヤタイイクカン・テイキュウジョウ・ヤキュウジョウ,,1199a,東京都目黒区碑文谷 6-12-43,,35.627225,139.682079,03-3760-1941,,1.00E+12,目黒区,,,,,,,,
131105,72,東京都,目黒区,碑文谷野球場,ヒモンヤタイイクカン・テイキュウジョウ・ヤキュウジョウ,,1199a,東京都目黒区碑文谷 6-12-43,,35.627225,139.682079,03-3760-1941,,1.00E+12,目黒区,,,,,,,,
131105,73,東京都,目黒区,八雲体育館,ヤクモタイイクカン,,1110a,東京都目黒区八雲 1-1-1,区民キャンパス内,35.621542,139.672741,03-5701-2984,,1.00E+12,目黒区,,,,,,,,
131105,74,東京都,目黒区,緑ヶ丘小学校屋内プール,ミドリガオカショウガッコウオクナイプール（セイブチクプール）,西部地区プール,1107a,東京都目黒区緑が丘 2-13-1,,35.60991,139.674223,03-3718-3130,,1.00E+12,目黒区,,,,,,,,
131105,75,東京都,目黒区,五本木小学校屋内プール,ゴホンギショウガッコウオクナイプール（チュウオウチクプール）,中央地区プール,1107a,東京都目黒区五本木 2-24-3,,35.634466,139.687889,03-3714-8511,,1.00E+12,目黒区,,,,,,,,
131105,76,東京都,目黒区,碑小学校屋内プール,イシブミショウガッコウオクナイプール（ナンブチクプール）,南部地区プール,1107a,東京都目黒区碑文谷 1-18-14,,35.619316,139.690579,03-3793-2606,,1.00E+12,目黒区,,,,,,,,
131105,77,東京都,目黒区,砧野球場・サッカー場,キヌタヤキュウジョウ・サッカージョウ,,1199a,東京都世田谷区喜多見 1-12-2,,35.620867,139.596029,03-3415-2361,,1.00E+12,目黒区,,,,,,,,
131105,78,東京都,目黒区,宮前公園庭球場,ミヤマエコウエンテイキュウジョウ,,1116a,東京都目黒区八雲 3-19-12,,35.61698,139.665149,03-3723-3342,,1.00E+12,目黒区,,,,,,,,
131105,79,東京都,目黒区,下目黒福祉工房,シモメグロフクシコウボウ,,1499a,東京都目黒区下目黒 3-10-2,,35.627873,139.711501,03-3793-2590,,1.00E+12,目黒区,,,,,,,,
131105,80,東京都,目黒区,目黒本町福祉工房,メグロホンチョウフクシコウボウ,,1499a,東京都目黒区目黒本町 1-14-24,,35.628592,139.695724,03-3713-5798,,1.00E+12,目黒区,,,,,,,,
131105,81,東京都,目黒区,かみよん工房,カミヨンコウボウ,,1499a,東京都目黒区上目黒 4-1-26,,35.64191,139.692041,03-3760-3059,,1.00E+12,目黒区,,,,,,,,
131105,82,東京都,目黒区,大橋えのき園,オオハシエノキエン,,1499a,東京都目黒区大橋 2-19-38,,35.655426,139.682005,03-3465-5192,,1.00E+12,目黒区,,,,,,,,
131105,83,東京都,目黒区,児童発達支援センターすくすくのびのび園,ジドウハッタツシエンセンタースクスクノビノビエン,,1499a,東京都目黒区中央町 2-23-24,ひまわりプラザ内,35.630828,139.690942,03-3714-1617,,1.00E+12,目黒区,,,,,,,,
131105,84,東京都,目黒区,のぞみ寮,ノゾミリョウ,,1499a,東京都目黒区目黒 3-4-4,,35.630423,139.708779,03-5722-2575,,1.00E+12,目黒区,,,,,,,,
131105,85,東京都,目黒区,東が丘障害福祉施設,ヒガシガオカショウガイフクシシセツ,,1499a,東京都目黒区東が丘 1-21-15,,35.627444,139.667838,03-3410-0778,,1.00E+12,目黒区,,,,,,,,
131105,86,東京都,目黒区,心身障害者センターあいアイ館,シンシンショウガイシャセンターアイアイカン,,1499a,東京都目黒区八雲 1-1-8,区民キャンパス内,35.620523,139.673267,03-5701-2221,,1.00E+12,目黒区,,,,,,,,
131105,87,東京都,目黒区,福祉の店ＳｕｎＭａｒｃｈｅ(さんまるしぇ）,フクシノミセサンマルシェ,,1499a,東京都目黒区目黒本町 1-14-24,目黒本町福祉工房1階,35.628592,139.695724,03-3794-4615,,1.00E+12,目黒区,,,,,,,,
131105,88,東京都,目黒区,駒場老人いこいの家,コマバロウジンイコイノイエ,,1499a,東京都目黒区駒場 1-26-6,,35.657158,139.685425,03-3468-8834,,1.00E+12,目黒区,,,,,,,,
131105,89,東京都,目黒区,菅刈老人いこいの家,スゲカリロウジンイコイノイエ,,1499a,東京都目黒区青葉台 2-10-18,菅刈住区センター内,35.649801,139.695613,03-3461-7250,,1.00E+12,目黒区,,,,,,,,
131105,90,東京都,目黒区,東山老人いこいの家,ヒガシヤマロウジンイコイノイエ,,1499a,東京都目黒区東山 3-19-18,東山住区センター内,35.648647,139.687129,03-3715-1868,,1.00E+12,目黒区,,,,,,,,
131105,91,東京都,目黒区,烏森老人いこいの家,カラスモリロウジンイコイノイエ,,1499a,東京都目黒区上目黒 3-44-2,烏森住区センター内,35.643932,139.691644,03-3719-0595,,1.00E+12,目黒区,,,,,,,,
131105,92,東京都,目黒区,上二老人いこいの家,カミニロウジンイコイノイエ,,1499a,東京都目黒区上目黒 2-10-4,,35.641403,139.699125,03-3715-8282,,1.00E+12,目黒区,,,,,,,,
131105,93,東京都,目黒区,田道老人いこいの家,デンドウロウジンイコイノイエ,,1499a,東京都目黒区目黒 3-1-18,,35.635106,139.706004,03-3712-6874,,1.00E+12,目黒区,,,,,,,,
131105,94,東京都,目黒区,三田分室老人いこいの家,ミタブンシツロウジンイコイノイエ,,1499a,東京都目黒区三田 2-10-33,田道住区センター三田分室内,35.638819,139.712487,03-5721-2304,,1.00E+12,目黒区,,,,,,,,
131105,95,東京都,目黒区,下目黒老人いこいの家,シモメグロロウジンイコイノイエ,,1499a,東京都目黒区下目黒 2-20-19,下目黒住区センター内,35.632939,139.709898,03-5496-5814,,1.00E+12,目黒区,,,,,,,,
131105,96,東京都,目黒区,不動老人いこいの家,フドウロウジンイコイノイエ,,1499a,東京都目黒区下目黒 6-8-23,不動住区センター内,35.626409,139.701038,03-3793-9431,,1.00E+12,目黒区,,,,,,,,
131105,97,東京都,目黒区,上目黒老人いこいの家,カミメグロロウジンイコイノイエ,,1499a,東京都目黒区上目黒 4-18-15,,35.640854,139.691172,03-5704-0350,,1.00E+12,目黒区,,,,,,,,
131105,98,東京都,目黒区,中町老人いこいの家,ナカチョウロウジンイコイノイエ,,1499a,東京都目黒区中町 1-6-19,,35.630887,139.700041,03-3714-7057,,1.00E+12,目黒区,,,,,,,,
131105,99,東京都,目黒区,五本木老人いこいの家,ゴホンギロウジンイコイノイエ,,1499a,東京都目黒区五本木 2-11-29,,35.635209,139.689562,03-3719-3943,,1.00E+12,目黒区,,,,,,,,
131105,100,東京都,目黒区,鷹番老人いこいの家,タカバンロウジンイコイノイエ,,1499a,東京都目黒区鷹番 3-17-20,鷹番住区センター内,35.628225,139.683159,03-3715-9235,,1.00E+12,目黒区,,,,,,,,
131105,101,東京都,目黒区,月光原老人いこいの家,ゲッコウハラロウジンイコイノイエ,,1499a,東京都目黒区目黒本町 4-16-18,月光原住区センター内,35.622074,139.694686,03-3714-0634,,1.00E+12,目黒区,,,,,,,,
131105,102,東京都,目黒区,向原老人いこいの家,ムカイハラロウジンイコイノイエ,,1499a,東京都目黒区目黒本町 5-22-11,向原住区センター内,35.618716,139.6986,03-3794-5442,,1.00E+12,目黒区,,,,,,,,
131105,103,東京都,目黒区,碑老人いこいの家,イシブミロウジンイコイノイエ,,1499a,東京都目黒区碑文谷 2-16-6,碑住区センター内,35.620765,139.687651,03-3792-0770,,1.00E+12,目黒区,,,,,,,,
131105,104,東京都,目黒区,原町老人いこいの家,ハラマチロウジンイコイノイエ,,1499a,東京都目黒区原町 2-2-14,,35.616284,139.692252,03-3716-6006,,1.00E+12,目黒区,,,,,,,,
131105,105,東京都,目黒区,大岡山東老人いこいの家,オオオカヤマヒガシロウジンイコイノイエ,,1499a,東京都目黒区碑文谷 3-15-5,大岡山東住区センター内,35.617809,139.684238,03-3792-8518,,1.00E+12,目黒区,,,,,,,,
131105,106,東京都,目黒区,平町老人いこいの家,タイラマチロウジンイコイノイエ,,1499a,東京都目黒区平町 2-4-10,,35.614416,139.68311,03-3723-5358,,1.00E+12,目黒区,,,,,,,,
131105,107,東京都,目黒区,中根老人いこいの家,ナカネロウジンイコイノイエ,,1499a,東京都目黒区大岡山 1-37-2,中根住区センター内,35.61269,139.679532,03-3725-8666,,1.00E+12,目黒区,,,,,,,,
131105,108,東京都,目黒区,自由が丘老人いこいの家,ジユウガオカロウジンイコイノイエ,,1499a,東京都目黒区自由が丘 1-23-26,,35.611538,139.669636,03-5701-1621,,1.00E+12,目黒区,,,,,,,,
131105,109,東京都,目黒区,宮前分室老人いこいの家,ミヤマエブンシツロウジンイコイノイエ,,1499a,東京都目黒区八雲 3-22-15,自由が丘住区センター宮前分室内,35.61564,139.665406,03-3723-7105,,1.00E+12,目黒区,,,,,,,,
131105,110,東京都,目黒区,八雲老人いこいの家,ヤクモロウジンイコイノイエ,,1499a,東京都目黒区八雲 1-10-5,八雲住区センター内,35.618715,139.672271,03-3718-0639,,1.00E+12,目黒区,,,,,,,,
131105,111,東京都,目黒区,東根老人いこいの家,ヒガシネロウジンイコイノイエ,,1499a,東京都目黒区東が丘 1-7-14,東根住区センター内,35.62724,139.670043,03-3795-4446,,1.00E+12,目黒区,,,,,,,,
131105,112,東京都,目黒区,高齢者センター,コウレイシャセンター,,1499a,東京都目黒区目黒 1-25-26,田道ふれあい館内,35.636722,139.708179,03-5721-2291,,1.00E+12,目黒区,,,,,,,,
131105,113,東京都,目黒区,在宅福祉サービスセンター,ザイタクフクシサービスセンター,,1499a,東京都目黒区上目黒 2-19-15,総合庁舎別館内,35.641263,139.698591,03-3714‐2841,,1.00E+12,目黒区,,,,,,,,
131105,114,東京都,目黒区,特別養護老人ホーム東山,トクベツヨウゴロウジンホームヒガシヤマ,,1408a,東京都目黒区東山 3-24-6,,35.647391,139.685474,03-3791-8451,,1.00E+12,目黒区,,,,,,,,
131105,115,東京都,目黒区,特別養護老人ホーム中目黒,トクベツヨウゴロウジンホームナカメグロ,,1408a,東京都目黒区中目黒 5-7-35,,35.636011,139.700865,03-5704-3631,,1.00E+12,目黒区,,,,,,,,
131105,116,東京都,目黒区,特別養護老人ホーム東が丘,トクベツヨウゴロウジンホームヒガシガオカ,,1408a,東京都目黒区東が丘 1-6-4,,35.626356,139.670513,03-5481-5639,,1.00E+12,目黒区,,,,,,,,
131105,117,東京都,目黒区,東山在宅ケア多機能センター,ヒガシヤマザイタクケアタキノウセンター,,1409a,東京都目黒区東山 3-24-6,,35.647391,139.685474,03-3791-8461,,1.00E+12,目黒区,,,,,,,,
131105,118,東京都,目黒区,田道在宅ケア多機能センター,デンドウザイタクケアタキノウセンター,,1409a,東京都目黒区目黒 1-25-26,田道ふれあい館内,35.636722,139.708179,03-5721-2295,,1.00E+12,目黒区,,,,,,,,
131105,119,東京都,目黒区,東山ケアプランセンター,ヒガシヤマケアプランセンター,,1499a,東京都目黒区東山 3-24-6,ひがしやまホーム内,35.647391,139.685474,03-3791-8474,,1.00E+12,目黒区,,,,,,,,
131105,120,東京都,目黒区,東が丘ケアプランセンター,ヒガシガオカケアプランセンター,,1499a,東京都目黒区東が丘 1-6-4,ひがしがおかホーム内,35.626356,139.670513,03-5481-2873,,1.00E+12,目黒区,,,,,,,,
131105,121,東京都,目黒区,駒場保育園,コマバホイクエン,,1402a,東京都目黒区駒場 1-22-1,,35.65653,139.686563,03-3469-6775,,1.00E+12,目黒区,,,,,,,,
131105,122,東京都,目黒区,菅刈保育園,スゲカリホイクエン,,1402a,東京都目黒区青葉台 2-10-27,,35.64999,139.69521,03-3462-0219,,1.00E+12,目黒区,,,,,,,,
131105,123,東京都,目黒区,第二上目黒保育園,ダイニカミメグロホイクエン,,1402a,東京都目黒区上目黒 2-15-8,,35.642213,139.697344,03-3719-8656,,1.00E+12,目黒区,,,,,,,,
131105,124,東京都,目黒区,田道保育園,デンドウホイクエン,,1402a,東京都目黒区目黒 3-4-4,,35.634608,139.706148,03-3760-3935,,1.00E+12,目黒区,,,,,,,,
131105,125,東京都,目黒区,不動保育園,フドウホイクエン,,1402a,東京都目黒区下目黒 6-11-20,,35.626486,139.699504,03-3792-7475,,1.00E+12,目黒区,,,,,,,,
131105,126,東京都,目黒区,中町保育園,ナカチョウホイクエン,,1402a,東京都目黒区中町 2-37-15,,35.634125,139.694569,03-3719-2640,,1.00E+12,目黒区,,,,,,,,
